year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
56,16/07/2019 03:30,23.06705093,27.48322105,30.78241348,32.13249207,33.19460678,34.07076263,33.70704651,37.13484955,39.13634491,38.4
57,16/07/2019 04:00,25.06672096,30.91387749,33.81037903,34.60941696,35.0610733,36.51187897,35.50921249,39.1129303,41.020298,38
58,16/07/2019 04:30,27.60555077,34.7534256,36.19355011,37.02187347,37.04418182,38.96460724,37.65526962,41.06896973,43.43927383,40.735
59,16/07/2019 05:00,30.2992363,37.67535019,37.76307678,38.89583969,38.89208221,40.84608078,40.00152206,43.03755951,46.38425446,43.47
60,16/07/2019 05:30,32.72742844,39.63225555,38.94975662,40.39511108,40.75919342,42.40094376,42.40248108,45.0020256,49.64629364,44.485
61,16/07/2019 06:00,34.69923019,41.08868027,40.24036026,41.71051025,42.88520813,44.17253494,45.18096924,47.07349014,53.22830963,45.5
62,16/07/2019 06:30,36.21354294,42.22752762,42.32803345,42.89094925,45.31550217,46.73568726,49.08111954,49.41480637,57.287323,50.45
63,16/07/2019 07:00,37.33047485,43.00742722,45.61466599,44.08274078,47.72332382,49.85961151,52.85075378,51.95851898,62.10042572,55.4
64,16/07/2019 07:30,38.1112442,43.26540756,47.29389954,45.59688568,49.13840485,51.45043945,53.81113815,54.52602005,64.96315765,55.205
65,16/07/2019 08:00,38.51006699,42.74034882,46.08994293,46.2544136,48.4537468,50.51299286,52.7444458,55.52239609,64.57338715,55.01
66,16/07/2019 08:30,38.2104187,41.40565109,44.04902649,44.62946701,46.2133255,48.76245499,50.81660461,53.34957504,63.6455574,51.77
67,16/07/2019 09:00,37.22531509,39.73642349,42.17136002,42.51904678,44.08880615,47.18774796,48.75218964,51.48207092,62.54543686,48.53
68,16/07/2019 09:30,36.12610245,38.30780792,40.59825134,40.65659332,42.73360825,45.75689316,47.0537262,50.23358536,61.2183876,48.55
69,16/07/2019 10:00,35.1596489,37.27790833,39.28032303,38.97815704,41.81012726,44.29771423,45.73390579,49.19588852,59.67145538,48.57
70,16/07/2019 10:30,34.32011795,36.51947403,38.11844635,37.4510231,40.97298813,42.66244125,44.59048462,48.12981033,57.98815155,47.735
71,16/07/2019 11:00,33.58017349,35.90745544,37.02898788,36.10972595,40.06488419,40.77163315,43.50104904,46.8940506,56.27560425,46.9
72,16/07/2019 11:30,32.93560028,35.38498688,35.96406174,34.98794556,39.04504776,38.71326065,42.45818329,45.40181732,54.56925964,43.74
73,16/07/2019 12:00,32.40625,34.93790817,34.91620636,34.09453583,37.93577957,36.77156448,41.52594376,43.61898041,52.83369827,40.58
74,16/07/2019 12:30,32.03299713,34.57110214,33.92707443,33.42473602,36.79369736,35.22486496,40.80382538,41.63101959,51.0794487,40.175
75,16/07/2019 13:00,31.87436485,34.31208801,33.11592102,32.98455048,35.71819305,34.16414261,40.40739059,39.773983,49.48240662,39.77
76,16/07/2019 13:30,32.00863647,34.2651825,32.7248764,32.82327271,34.96469116,33.5894928,40.49433899,38.67543411,48.44186401,40.885
77,16/07/2019 14:00,32.54729843,34.74564743,33.10999298,33.09932327,35.15220642,33.66372299,41.39743042,39.13111115,48.83353806,42
78,16/07/2019 14:30,33.64355469,36.3429451,34.56616974,34.28575897,37.11078262,34.96635437,43.64360046,41.97151184,52.48379517,48.5
79,16/07/2019 15:00,35.40777206,39.22741699,36.91166687,37.22067261,40.66015244,38.13433075,47.20763779,46.88055801,59.29344559,55
